Stream,SYN,FIN,LEN,DPORT,PROTO,MIRAI
stream_0_date_02:15:20_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:17:17_09_23_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:25:24_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:28:27_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:30:13_09_19_2019.pcap,0.06,0,55.8,23,6,1
stream_0_date_02:30:28_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:31:14_09_19_2019.pcap,0.05,0,20.61,23,6,1
stream_0_date_02:31:29_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:32:15_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_02:37:18_09_19_2019.pcap,0.05,0,20.36,23,6,1
stream_0_date_02:38:19_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_02:43:33_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:46:36_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:46:51_09_22_2019.pcap,0.06,0,51.32,23,6,1
stream_0_date_02:47:52_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_02:48:53_09_22_2019.pcap,0.06,0,51.32,23,6,1
stream_0_date_02:50:55_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_02:51:56_09_22_2019.pcap,0.06,0.06,49.71,23,6,1
stream_0_date_02:52:57_09_22_2019.pcap,0.06,0,51.32,23,6,1
stream_0_date_02:53:58_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_02:55:39_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:57:41_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_02:59:43_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:03:01_09_22_2019.pcap,0.06,0,54.09,23,6,1
stream_0_date_03:05:02_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_03:07:27_09_19_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:10:48_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:11:49_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:16:51_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:19:05_09_18_2019.pcap,0.85,0,0,23,6,-1
stream_0_date_03:24:32_09_19_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:25:54_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:26:55_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:28:33_09_19_2019.pcap,0.1,0.1,3.63,23,6,1
stream_0_date_03:30:58_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:31:59_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:33:24_09_17_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_03:34:25_09_17_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_03:40:02_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:41:03_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:42:04_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:43:05_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:44:06_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:48:14_09_22_2019.pcap,0.66,0,0,23,6,-1
stream_0_date_03:58:11_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_03:59:12_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:02:14_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:06:15_09_21_2019.pcap,0.05,0,88.08,23,6,1
stream_0_date_04:08:17_09_21_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_04:13:21_09_22_2019.pcap,0.06,0,55.9,23,6,1
stream_0_date_04:15:22_09_22_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_04:18:20_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:20:22_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:20:47_09_19_2019.pcap,0.11,0,4.66,23,6,1
stream_0_date_04:21:23_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:21:48_09_19_2019.pcap,0,0.05,36.26,23,6,1
stream_0_date_04:22:51_09_23_2019.pcap,0.06,0,65.8,23,6,1
stream_0_date_04:23:25_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:24:26_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:24:52_09_23_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:27:26_09_22_2019.pcap,0.5,0,0,23,6,-1
stream_0_date_04:28:51_09_19_2019.pcap,0.06,0,23.15,23,6,1
stream_0_date_04:28:54_09_23_2019.pcap,0.16,0.16,3.91,23,6,1
stream_0_date_04:29:52_09_19_2019.pcap,0,0.25,9.5,23,6,1
stream_0_date_04:30:53_09_19_2019.pcap,0.05,0,41.62,23,6,1
stream_0_date_04:32:29_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:32:54_09_19_2019.pcap,0,0.66,0,23,6,-1
stream_0_date_04:33:30_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:34:31_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:35:32_09_21_2019.pcap,1,0,0,23,6,-1
stream_0_date_04:36:33_09_21_2019.pcap,1,0,0,23,6,-1
